"Topic_code","Topic_desc","DataSet_code","DataSet_desc","Reporter_code","Reporter_desc","Flow_code","Flow_desc","Indicator_code","Indicator_desc","Partner_code","Partner_desc","Unit_code","Unit_desc","Year","Value","Value_flag","Notes_Export"
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1990,11361408456," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1991,9292928000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1992,9428786720," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1993,8597674928," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1994,8631591871," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1995,10442590944," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1996,13377828768," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1997,13106848832," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1998,9032341616," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",1999,11710678080," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2000,18263388032," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2001,14615638144," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2002,16169480288," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2003,20520996015," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2004,26360994071," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2005,35794778631," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2006,44559834474," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2007,50019341424," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2008,57836591000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2009,36200095000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2010,49794385000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2011,69295623677," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2012,65939026000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2013,60245067000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2014,52666495000," ","Coverage: Includes processing zones" 
"MT","Merchandise trade","CO","Merchandise trade by commodity","MX","Mexico","X","Exports","MI","Fuels and mining products","WL","World","UC","US dollar at current prices",2015,32204223000," ","Coverage: Includes processing zones" 
